Symbol,CompanyName,MarketCap,Sector,Industry,DividendYield,Beta
SQ,Square Inc,$101.2B,Information Technology,IT Services,--,+2.6
SQIDF,SQI DIAGNOSTICS INC,$61.3M,Health Care,Health Care Equipment & Supplies,--,+0.2
SQM,Sociedad Quimica y Minera de Chile (ADR),$6.6B,Materials,Chemicals,--,+0.9
SQNS,Sequans Communications SA ADR,$201.1M,Information Technology,Semiconductors & Semiconductor Equipment,--,+0.9
SR,Spire Inc,$3.2B,Utilities,Gas Utilities,4.10%,+0.3
SRAX,SRAX Inc,$49.8M,Communication Services,Media,--,+2.0
SRBIF,SERABI GOLD PLC,$73.9M,Materials,Metals & Mining,--,+1.4
SRBT,Shanrong Biotechnology Corp,$149.3K,Industrials,Aerospace & Defense,--,-0.8
SRC,Spirit Realty Capital Inc,$4.1B,Real Estate,Equity Real Estate Investment Trusts (REITs),6.58%,+1.3
SRC-A,Spirit Realty Capital Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),5.65%,--
SRCE,1st Source Corporation,$1.0B,Financials,Banks,2.82%,+1.2
SRCGF,SPRUCE RIDGE RESOURCES LTD,$14.8M,Materials,Metals & Mining,--,+2.6
SRCH,Searchlight Minerals Corp.,$6.5M,Materials,Metals & Mining,--,+0.8
SRCL,Stericycle Inc,$6.3B,Industrials,Commercial Services & Supplies,--,+1.4
SRDX,"SurModics, Inc.",$622.9M,Health Care,Health Care Equipment & Supplies,--,+1.0
SRE,Sempra Energy,$35.2B,Utilities,Multi-Utilities,3.38%,+0.6
SRE-A,Sempra Energy,--,Utilities,Multi-Utilities,6.13%,--
SRE-B,Sempra Energy,--,Utilities,Multi-Utilities,6.64%,--
SREV,Servicesource International Inc,$163.2M,Information Technology,IT Services,--,+2.0
SRG,Seritage Growth Properties,$554.0M,Real Estate,Equity Real Estate Investment Trusts (REITs),--,+2.3
SRG-A,Seritage Growth Properties,--,Real Estate,Equity Real Estate Investment Trusts (REITs),10.70%,--
SRGA,Surgalign Holdings Inc,$166.0M,Health Care,Health Care Equipment & Supplies,--,+2.2
SRGZ,Star Gold Corp,$6.9M,Materials,Metals & Mining,--,+0.9
SRI,"Stoneridge, Inc.",$803.4M,Consumer Discretionary,Auto Components,--,+1.5
SRL,Scully Royalty Ltd,$61.8M,Financials,Capital Markets,--,+1.3
SRMX,Saddle Ranch Media Inc,$2.6M,Communication Services,Entertainment,--,+1.9
SRNA,Surna Inc,$8.3M,Industrials,Building Products,--,+1.1
SRNE,Sorrento Therapeutics Inc,$1.8B,Health Care,Biotechnology,--,+2.5
SRNN,Southern Banc Company Inc,$5.7M,Financials,Banks,--,-0.2
SRPT,Sarepta Therapeutics Inc,$12.9B,Health Care,Biotechnology,--,+1.7
SRRA,Sierra Oncology Inc,$175.6M,Health Care,Biotechnology,--,+1.1
SRRE,"Sunrise Real Estate Group, Inc.",$27.8M,Real Estate,Real Estate Management & Development,--,+0.9
SRRK,Scholar Rock Holding Corp,$1.5B,Health Care,Biotechnology,--,--
SRT,"StarTek, Inc.",$318.7M,Information Technology,IT Services,--,+1.4
SRTS,Sensus Healthcare Inc,$71.3M,Health Care,Health Care Equipment & Supplies,--,+0.5
SRYB,Surrey Bancorp,$40.0M,Financials,Banks,3.61%,+0.7
SSB,South State Corp,$5.2B,Financials,Banks,2.62%,+1.1
SSBI,Summit State Bank,$79.5M,Financials,Banks,3.66%,+0.8
SSBP,SSB Bancorp Inc,$18.8M,Financials,Banks,--,--
SSCFF,SMARTCOOL SYSTEMS INC,$743.9K,Industrials,Electrical Equipment,--,-1.1
SSD,"Simpson Manufacturing Co, Inc.",$4.1B,Industrials,Building Products,0.99%,+1.2
SSDOY,Shiseido Co. LTD. (ADR),$27.0B,Consumer Staples,Personal Products,--,+0.3
SSEBF,SILVER SPRUCE RESOURCES INC,$8.0M,Materials,Metals & Mining,--,+1.8
SSET,Starstream Entertainment Inc,$467.8K,Communication Services,Entertainment,--,+2.2
SSKN,STRATA Skin Sciences Inc,$49.0M,Health Care,Health Care Equipment & Supplies,--,+2.5
SSL,Sasol Limited (ADR),$5.7B,Materials,Chemicals,--,+3.8
SSNC,"SS&C Technologies Holdings, Inc.",$18.0B,Information Technology,Software,0.79%,+1.6
SSNT,SilverSun Technologies Inc,$14.0M,Information Technology,Software,--,+1.0
SSP,E. W. Scripps Co,$1.3B,Communication Services,Media,1.32%,+2.0
SSRM,SSR Mining Inc,$4.7B,Materials,Metals & Mining,--,+0.9
SSSS,SuRo Capital Corp,$267.8M,Financials,Capital Markets,3.27%,+1.5
SSTI,Shotspotter Inc,$452.8M,Information Technology,Software,--,+1.5
SSTK,Shutterstock Inc,$2.5B,Consumer Discretionary,Internet & Direct Marketing Retail,0.98%,+1.0
SSTRF,Silverstar Holdings Ltd.,$34.3K,Communication Services,Entertainment,--,+3.8
SSTT,SStartrade Tech Inc,$3.8M,Materials,Metals & Mining,--,-1.4
SSVFF,SOUTHERN SILVER EXPLORATION,$111.3M,Materials,Metals & Mining,--,+2.0
SSY,"SunLink Health Systems, Inc.",$9.0M,Health Care,Health Care Providers & Services,--,+1.2
ST,Sensata Technologies Holding PLC,$8.4B,Industrials,Electrical Equipment,--,+1.5
STAA,STAAR Surgical Company,$3.7B,Health Care,Health Care Equipment & Supplies,--,+1.0
STAF,Staffing 360 Solutions Inc,$12.6M,Industrials,Professional Services,--,+2.2
STAG,Stag Industrial Inc,$4.8B,Real Estate,Equity Real Estate Investment Trusts (REITs),4.74%,+0.9
STAG-C,STAG Industrial Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),6.81%,--
STAR,istar Inc,$1.1B,Real Estate,Equity Real Estate Investment Trusts (REITs),3.06%,+0.8
STAR-D,iStar Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),7.84%,--
STAR-G,iStar Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),7.59%,--
STAR-I,iStar Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),7.49%,--
STBA,S & T Bancorp Inc,$998.5M,Financials,Banks,4.55%,+0.7
STBI,"Sturgis Bancorp, Inc.",$39.5M,Financials,Thrifts & Mortgage Finance,3.41%,+0.6
STC,Stewart Information Services Corp,$1.3B,Financials,Insurance,2.52%,+1.0
STCB,Starco Brands Inc,$286.5M,Consumer Discretionary,Internet & Direct Marketing Retail,--,--
STCN,Steel Connect Inc,$48.9M,Information Technology,IT Services,--,+1.0
STE,Steris PLC,$16.2B,Health Care,Health Care Equipment & Supplies,0.85%,+0.6
STEV,Stevia Corp,$376.7K,Consumer Staples,Food Products,--,+0.5
STFC,State Auto Financial Corp,$767.6M,Financials,Insurance,2.28%,+0.2
STG,Sunlands Technology Group - ADR,$181.7M,Consumer Discretionary,Diversified Consumer Services,--,--
STGGQ,STG Group Inc,$498.8K,Industrials,Aerospace & Defense,--,--
STHI,Sprout Tiny Homes Inc,$8.7M,Consumer Discretionary,Household Durables,--,+0.8
STIE,Kestrel Transportation Inc,$1.0M,Communication Services,Entertainment,--,--
STIM,Neuronetics Inc,$208.7M,Health Care,Health Care Equipment & Supplies,--,--
STJO,St Joseph Inc,$93.4K,Industrials,Professional Services,--,+0.4
STKL,"SunOpta, Inc. (USA)",$1.0B,Consumer Staples,Food Products,--,+2.3
STL,Sterling Bancorp,$3.5B,Financials,Banks,1.57%,+1.7
STLD,"Steel Dynamics, Inc.",$7.9B,Materials,Metals & Mining,2.73%,+1.5
STLJF,STELLA-JONES INC,$2.4B,Materials,Paper & Forest Products,1.27%,+0.7
STLT,Spotlight Innovation Inc,$894.1K,Health Care,Pharmaceuticals,--,-2.8
STM,STMicroelectronics NV (ADR),$35.7B,Information Technology,Semiconductors & Semiconductor Equipment,0.48%,+1.5
STMH,Stem Holdings Inc,$30.2M,Real Estate,Real Estate Management & Development,--,--
STMP,Stamps.com Inc.,$3.7B,Consumer Discretionary,Internet & Direct Marketing Retail,--,+0.3
STN,Stantec Inc. (USA),$3.6B,Industrials,Professional Services,1.51%,+0.8
STND,Standard AVB Financial Corp,$156.1M,Financials,Thrifts & Mortgage Finance,2.71%,+0.2
STNE,StoneCo Ltd,$25.6B,Information Technology,IT Services,--,--
STOK,Stoke Therapeutics Inc,$2.1B,Health Care,Biotechnology,--,--
STON,StoneMor Partners L.P.,$311.1M,Consumer Discretionary,Diversified Consumer Services,--,+1.1
STOR,Store Capital Corp,$8.6B,Real Estate,Equity Real Estate Investment Trusts (REITs),4.49%,+1.2
STRA,Strategic Education Inc,$2.3B,Consumer Discretionary,Diversified Consumer Services,2.61%,+0.5
STRB,Strasbaugh,$2.9M,Information Technology,Semiconductors & Semiconductor Equipment,--,--
STRI,"STR Holdings, Inc.",$2.0M,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.2
STRL,"Sterling Construction Company, Inc.",$511.4M,Industrials,Construction & Engineering,--,+1.4
STRM,Streamline Health Solutions Inc.,$51.0M,Health Care,Health Care Technology,--,+0.9
STRO,Sutro Biopharma Inc,$963.2M,Health Care,Biotechnology,--,--
STRR,Star Equity Holdings Inc,$17.1M,Health Care,Health Care Providers & Services,--,+0.2
STRRP,Star Equity Holdings Inc,--,Health Care,Health Care Providers & Services,--,--
STRS,Stratus Properties Inc,$193.8M,Real Estate,Real Estate Management & Development,--,+0.8
STRT,Strattec Security Corp.,$185.9M,Consumer Discretionary,Auto Components,--,+1.5
STSA,Satsuma Pharmaceuticals Inc,$80.5M,Health Care,Pharmaceuticals,--,--
STSN,Stemsation International Inc,$521.1K,Consumer Staples,Personal Products,--,--
STT,State Street Corp,$25.5B,Financials,Capital Markets,2.88%,+1.6
STWC,STWC Holdings Inc,$110.8K,Industrials,Professional Services,--,+1.0
STWD,"Starwood Property Trust, Inc.",$5.2B,Financials,Mortgage Real Estate Investment Trusts (REITs),10.37%,+1.7
STXB,Spirit of Texas Bancshares Inc,$297.0M,Financials,Banks,2.14%,--
STXS,Stereotaxis Inc,$386.9M,Health Care,Health Care Equipment & Supplies,--,+1.5
STYS,"Stinger Systems, Inc.",$10.3K,Industrials,Aerospace & Defense,--,-1.5
STZ,"Constellation Brands, Inc.",$36.7B,Consumer Staples,Beverages,1.38%,+1.2
STZ.B,CONSTELLATION BRANDS,$5.1B,Consumer Staples,Beverages,1.24%,+1.2
SUHJY,Sun Hung Kai Properties Limited (ADR),$39.6B,Real Estate,Real Estate Management & Development,4.85%,+0.7
SUI,Sun Communities Inc,$14.5B,Real Estate,Equity Real Estate Investment Trusts (REITs),2.16%,+0.5
SUIC,Sino United Worldwide Consolidated Ltd,$13.4M,Consumer Discretionary,Distributors,--,--
SUM,Summit Materials Inc,$2.3B,Materials,Construction Materials,--,+1.3
SUME,Summer Energy Holdings Inc,$35.1M,Utilities,Electric Utilities,--,+1.4
SUMR,"Summer Infant, Inc.",$32.0M,Consumer Discretionary,Leisure Products,--,+1.7
SUMXF,SUPREMEX INC,$46.6M,Materials,Paper & Forest Products,--,+1.2
SUND,Sundance Strategies Inc,$151.3M,Financials,Diversified Financial Services,--,--
SUNS,Solar Senior Capital Ltd,$231.6M,Financials,Capital Markets,8.45%,+1.4
SUNW,Sunworks Inc,$81.3M,Industrials,Electrical Equipment,--,+2.2
SUP,Superior Industries International Inc,$108.3M,Consumer Discretionary,Auto Components,--,+4.9
SUPN,Supernus Pharmaceuticals Inc,$1.4B,Health Care,Pharmaceuticals,--,+1.3
SUPV,Grupo Supervielle SA -ADR,$182.7M,Financials,Banks,2.03%,+1.4
SURF,Surface Oncology Inc,$366.1M,Health Care,Biotechnology,--,--
SURG,Surge Holdings Inc,$12.9M,Communication Services,Wireless Telecommunication Services,--,+1.8
SUUIF,SUPERIOR PLUS CORP,$1.7B,Utilities,Gas Utilities,5.87%,+1.1
SUVRF,MODERN MEAT INC,$86.4M,Materials,Metals & Mining,--,+3.5
SUWN,Sunwin Stevia International Inc,$9.0M,Health Care,Pharmaceuticals,--,+1.2
SVA,Sinovac Biotech Ltd.,$640.0M,Health Care,Biotechnology,--,--
SVBI,"Severn Bancorp, Inc.",$92.0M,Financials,Thrifts & Mortgage Finance,2.24%,+0.7
SVBRF,SILVER BEAR RESOURCES INC,$87.5M,Materials,Metals & Mining,--,+1.0
SVC,Service Properties Trust,$1.9B,Real Estate,Equity Real Estate Investment Trusts (REITs),0.36%,+2.5
SVCTF,SENVEST CAPITAL INC,$351.1M,Financials,Capital Markets,--,+1.2
SVGAF,SILVER GRAIL RESOURCES LTD,$5.7M,Materials,Metals & Mining,--,+3.2
SVIN,Scheid Vineyards Inc,$11.5M,Consumer Staples,Food Products,--,+0.5
SVLT,Sunvault Energy Inc,$4.5M,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.7
SVM,Silvercorp Metals Inc,$1.2B,Materials,Metals & Mining,0.35%,+1.1
SVMK,SVMK Inc,$3.8B,Information Technology,Software,--,--
SVRA,Savara Inc,$68.1M,Health Care,Biotechnology,--,+1.2
SVROF,SILVER PREDATOR CORP,$5.2M,Materials,Metals & Mining,--,+1.3
SVSN,Stereo Vision Entertainment Inc,$1.7M,Communication Services,Entertainment,--,-0.9
SVSO,SheerVision Inc,$701.6K,Health Care,Health Care Equipment & Supplies,--,--
SVT,"Servotronics, Inc.",$20.9M,Industrials,Electrical Equipment,--,+0.9
SVTLQ,"SiVault Systems, Inc.",$6.2K,Information Technology,Software,--,--
SVVC,Firsthand Technology Value Fund Inc,$30.5M,Financials,Capital Markets,--,+1.7
SVXA,Sovereign Exploration Associates Int Inc,$3.7K,Industrials,Professional Services,--,--
SWAV,Shockwave Medical Inc,$3.8B,Health Care,Health Care Equipment & Supplies,--,--
SWBI,Smith & Wesson Brands Inc,$1.1B,Consumer Discretionary,Leisure Products,1.10%,+0.9
SWCH,Switch Inc,$3.8B,Information Technology,IT Services,1.24%,--
SWDBY,Swedbank AB (ADR),$19.8B,Financials,Banks,--,+1.1
SWI,SolarWinds Corp,$4.6B,Information Technology,Software,--,--
SWK,"Stanley Black & Decker, Inc.",$27.4B,Industrials,Machinery,1.65%,+1.5
SWKH,SWK Holdings Corp,$179.0M,Financials,Diversified Financial Services,--,+0.1
SWKS,Skyworks Solutions Inc,$25.5B,Information Technology,Semiconductors & Semiconductor Equipment,1.33%,+1.2
SWM,"Schweitzer-Mauduit International, Inc.",$1.3B,Materials,Paper & Forest Products,4.46%,+1.1
SWNLF,SCOZINC MINING LTD,$7.1M,Materials,Metals & Mining,--,+2.0
SWRI,"Sea wright Holdings, Inc.",$81.9K,Consumer Staples,Beverages,--,-1.5
SWSSF,SWISS WTR DECFFNTD CFFEE INC,$21.1M,Consumer Staples,Food Products,--,+1.8
SWTX,SpringWorks Therapeutics Inc,$3.3B,Health Care,Biotechnology,--,--
SWX,Southwest Gas Holdings Inc,$3.3B,Utilities,Gas Utilities,3.84%,+0.1
SXC,SunCoke Energy Inc,$402.3M,Materials,Metals & Mining,5.17%,+1.2
SXI,Standex International Corp,$977.3M,Industrials,Machinery,1.28%,+1.3
SXMVF,VIOR INC,$7.3M,Materials,Metals & Mining,--,+0.8
SXT,Sensient Technologies Corporation,$3.2B,Materials,Chemicals,2.13%,+1.0
SXTC,China SXT Pharmaceuticals Inc,$24.2M,Consumer Staples,Personal Products,--,--
SY,So-Young International Inc - ADR,$1.2B,Communication Services,Interactive Media & Services,--,--
SYBRQ,"Synergy Brands, Inc.",$7.5K,Consumer Staples,Food Products,--,--
SYBT,Stock Yards Bancorp Inc,$921.0M,Financials,Banks,2.66%,+0.9
SYBX,Synlogic Inc,$76.6M,Health Care,Biotechnology,--,+2.1
SYCRF,Syncora Holdings Ltd,$27.0M,Financials,Insurance,--,+1.4
SYF,Synchrony Financial,$20.3B,Financials,Consumer Finance,2.58%,+1.8
SYK,Stryker Corporation,$90.0B,Health Care,Health Care Equipment & Supplies,1.05%,+0.9
SYKE,"Sykes Enterprises, Incorporated",$1.5B,Information Technology,IT Services,--,+0.9
SYN,Synthetic Biologics Inc,$26.7M,Health Care,Biotechnology,--,+2.1
SYNA,"Synaptics, Incorporated",$3.4B,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.1
SYNC,Synacor Inc,$59.1M,Information Technology,Software,--,+0.6
SYNH,Syneos Health Inc,$7.1B,Health Care,Life Sciences Tools & Services,--,+1.8
SYNI,"Synvista Therapeutics, Inc.",$.0K,Health Care,Pharmaceuticals,--,--
SYNL,Synalloy Corporation,$73.4M,Materials,Metals & Mining,--,+0.5
SYPR,"Sypris Solutions, Inc.",$31.8M,Consumer Discretionary,Auto Components,--,+1.6
SYRS,Syros Pharmaceuticals Inc,$464.5M,Health Care,Biotechnology,--,+2.0
SYSX,Sysorex Inc,$164.0K,Information Technology,IT Services,--,--
SYTE,Enterprise Diversified Inc,$15.6M,Financials,Capital Markets,--,+1.2
SYUP,ANBC Inc,$4.6M,Health Care,Pharmaceuticals,--,-2.2
SYVC,Synovics Pharmaceuticals Inc,$.0K,Health Care,Pharmaceuticals,--,--
SYX,Systemax Inc.,$1.3B,Industrials,Trading Companies & Distributors,1.56%,+0.5
SYY,SYSCO Corporation,$37.2B,Consumer Staples,Food & Staples Retailing,2.49%,+1.4
SYZLF,SYLOGIST LTD,$189.9M,Information Technology,IT Services,4.81%,+0.6
SZSN,"Shandong Zhouyuan Sd. & Nrsry. Co., Ltd.",$1.1K,Consumer Staples,Food Products,--,--
T,AT&T Inc.,$209.5B,Communication Services,Diversified Telecommunication Services,7.07%,+0.7
TA,Travelcenters of America Inc,$443.3M,Consumer Discretionary,Specialty Retail,--,+2.0
TAC,TransAlta Corporation (USA),$2.1B,Utilities,Independent Power & Renewable Electricity Producers,1.84%,+1.4
TAER,Tarsier Ltd,$436.8K,Industrials,Electrical Equipment,--,+0.5
TAKD,TransAKT Ltd,$1.4M,Industrials,Trading Companies & Distributors,--,-1.4
TAKUF,C2C GOLD CORP,$5.9M,Materials,Metals & Mining,--,+3.2
TAL,TAL Education Group (ADR),$40.7B,Consumer Discretionary,Diversified Consumer Services,--,+0.1
TANH,Tantech Holdings Ltd,$47.0M,Materials,Chemicals,--,+0.1
TAOP,Taoping Inc,$21.4M,Information Technology,IT Services,--,+0.8
TAP,Molson Coors Beverage Co,$9.4B,Consumer Staples,Beverages,--,+1.2
TAP.A,MOLSON COORS BEVERAGE CO,$160.6M,Consumer Staples,Beverages,--,+1.2
TAPM,"Tapinator, Inc.",$2.5M,Communication Services,Entertainment,--,+3.0
TARO,Taro Pharmaceutical Industries Ltd.,$2.8B,Health Care,Pharmaceuticals,--,+1.0
TATT,T.A.T. Technologies Ltd.,$44.6M,Industrials,Aerospace & Defense,--,+0.9
TATYY,Tate & Lyle PLC (ADR),$4.3B,Consumer Staples,Food Products,4.19%,+0.9
TAYD,"Taylor Devices, Inc.",$35.8M,Industrials,Machinery,--,+0.9
TBBK,Bancorp Inc,$789.0M,Financials,Banks,--,+1.5
TBET,Tibet Pharmaceuticals  Inc,$59.4K,Health Care,Pharmaceuticals,--,+9.3
TBI,Trueblue Inc,$665.1M,Industrials,Professional Services,--,+1.7
TBIO,Translate Bio Inc,$1.4B,Health Care,Biotechnology,--,--
TBK,Triumph Bancorp Inc,$1.3B,Financials,Banks,--,+1.1
TBMIF,AURCREST GOLD INC,$5.0M,Materials,Metals & Mining,--,+3.2
TBNK,Territorial Bancorp Inc,$227.2M,Financials,Thrifts & Mortgage Finance,3.86%,+0.6
TBPH,Theravance Biopharma Inc,$1.1B,Health Care,Pharmaceuticals,--,+1.0
TC,TuanChe Ltd (ADR),$68.0M,Communication Services,Media,--,--
TCBI,Texas Capital Bancshares Inc,$3.0B,Financials,Banks,--,+1.9
TCBK,TriCo Bancshares,$1.1B,Financials,Banks,2.51%,+0.7
TCDA,Tricida Inc,$360.8M,Health Care,Pharmaceuticals,--,--
TCF,TCF Financial Corp,$5.8B,Financials,Banks,3.80%,+2.0
TCFC,Community Financial Corp(Maryland),$155.4M,Financials,Banks,1.93%,+0.9
TCI,Transcontinental Realty Investors Inc,$205.3M,Real Estate,Real Estate Management & Development,--,+0.8
TCKRF,TECK RESOURCES LTD,$160.5M,Materials,Metals & Mining,0.76%,+1.4
TCLCF,TRANSCONTINENTAL INC -CL A,$251.2M,Industrials,Commercial Services & Supplies,3.92%,+1.1
TCLRY,Technicolor SA (ADR),$620.1M,Communication Services,Entertainment,--,+1.9
TCMD,Tactile Systems Technology Inc,$935.0M,Health Care,Health Care Equipment & Supplies,--,+1.7
TCNGF,TRICON RESIDENTIAL INC,$1.8B,Real Estate,Real Estate Management & Development,2.42%,+1.3
TCOM,Trip.com Group Ltd (ADR),$20.5B,Consumer Discretionary,Internet & Direct Marketing Retail,--,+1.3
TCON,TRACON Pharmaceuticals Inc,$158.6M,Health Care,Biotechnology,--,+2.0
TCPC,BlackRock TCP Capital Corp,$651.6M,Financials,Capital Markets,10.78%,+1.7
TCRR,Tcr2 Therapeutics Inc,$988.6M,Health Care,Biotechnology,--,--
TCS,Container Store Group Inc,$488.1M,Consumer Discretionary,Specialty Retail,--,+1.3
TCX,Tucows Inc. (USA),$779.9M,Information Technology,IT Services,--,+0.7
TCYSF,TECSYS INC,$530.7M,Information Technology,Software,0.55%,+0.7
TD,Toronto-Dominion Bank,$102.3B,Financials,Banks,4.40%,+0.9
TDC,Teradata Corporation,$2.5B,Information Technology,Software,--,+1.2
TDCH,30dc Inc,$370.9K,Information Technology,Software,--,-2.3
TDG,TransDigm Group Incorporated,$32.6B,Industrials,Aerospace & Defense,--,+1.6
TDLAF,TBG Diagnostics Ltd (USA),$15.8M,Health Care,Biotechnology,--,--
TDNT,Trident Brands Inc,$1.1M,Consumer Staples,Personal Products,--,+0.6
TDOC,Teladoc Health Inc,$28.9B,Health Care,Health Care Technology,--,+0.2
TDS,"Telephone & Data Systems, Inc.",$2.0B,Communication Services,Wireless Telecommunication Services,3.63%,+1.2
TDY,Teledyne Technologies Incorporated,$13.4B,Industrials,Aerospace & Defense,--,+1.1
TDYT,"Thermodynetics, Inc.",$34.0K,Materials,Metals & Mining,--,+2.7
TEAM,Atlassian Corporation PLC,$57.7B,Information Technology,Software,--,+0.8
TECH,BIO-TECHNE Corp,$12.2B,Health Care,Life Sciences Tools & Services,0.41%,+1.1
TECK,Teck Resources Ltd (USA),$10.1B,Materials,Metals & Mining,0.83%,+1.4
TEDU,Tarena International Inc(ADR),$168.7M,Consumer Discretionary,Diversified Consumer Services,--,+0.4
TEF,Telefonica S.A. (ADR),$21.8B,Communication Services,Diversified Telecommunication Services,--,+0.8
TEHG,Technovative Group Inc,$58.6M,Information Technology,Software,--,--
TELA,TELA Bio Inc,$225.6M,Health Care,Health Care Equipment & Supplies,--,--
TELNY,Telenor ASA (ADR),$23.7B,Communication Services,Diversified Telecommunication Services,7.98%,+0.6
TEN,Tenneco Inc,$853.4M,Consumer Discretionary,Auto Components,--,+2.7
TENB,Tenable Holdings Inc,$5.3B,Information Technology,Software,--,--
TENX,Tenax Therapeutics Inc,$22.8M,Health Care,Biotechnology,--,+2.4
TEO,Telecom Argentina SA (ADR),$792.6M,Communication Services,Diversified Telecommunication Services,--,+0.5
TER,"Teradyne, Inc.",$20.0B,Information Technology,Semiconductors & Semiconductor Equipment,0.34%,+1.3
TETAA,"Teton Advisors, Inc.",$40.4M,Financials,Capital Markets,--,--
TEUFF,Box Ships Inc,$186.9K,Industrials,Marine,--,-0.6
TEUM,Pareteum Corp,$84.0M,Communication Services,Diversified Telecommunication Services,--,+1.4
TEUTF,TEUTON RESOURCES CORP,$107.2M,Materials,Metals & Mining,--,+2.3
TEVA,Teva Pharmaceutical Industries Ltd (ADR),$11.5B,Health Care,Pharmaceuticals,--,+1.5
TEX,Terex Corporation,$2.4B,Industrials,Machinery,--,+1.7
TEXC,Texcom Inc,$179.7K,Industrials,Commercial Services & Supplies,--,-3.5
TFC,Truist Financial Corp,$63.8B,Financials,Banks,3.82%,+1.3
TFCCF,TERRA FIRMA CAPITAL CORP,$20.8M,Financials,Thrifts & Mortgage Finance,4.20%,+0.9
TFFP,TFF Pharmaceuticals Inc,$325.6M,Health Care,Pharmaceuticals,--,--
TFRY,"Tasty Fries, Inc.",$24.0K,Industrials,Machinery,--,--
TFSL,TFS Financial Corporation,$5.0B,Financials,Thrifts & Mortgage Finance,6.33%,+0.4
TFX,Teleflex Incorporated,$18.6B,Health Care,Health Care Equipment & Supplies,0.34%,+1.2
TG,Tredegar Corporation,$558.7M,Materials,Chemicals,2.96%,+1.1
TGAFF,TAIGA BUILDING PRODUCTS LTD,$204.1M,Industrials,Trading Companies & Distributors,--,+1.1
TGB,Taseko Mines Ltd (USA),$385.3M,Materials,Metals & Mining,--,+2.5
TGCDF,TERANGA GOLD CORP,$2.0B,Materials,Metals & Mining,--,+0.6
TGGI,Trans Global Group Inc,$8.7M,Industrials,Construction & Engineering,--,-1.7
TGH,Textainer Group Holdings Limited,$977.7M,Industrials,Trading Companies & Distributors,--,+1.5
TGHI,Touchpoint Group Holdings Inc,$604.8K,Communication Services,Entertainment,--,+2.7
TGI,Triumph Group Inc,$662.3M,Industrials,Aerospace & Defense,--,+3.1
TGIC,Triad Guaranty Inc.,$1.0M,Financials,Thrifts & Mortgage Finance,--,+1.1
TGILF,TIGER INTL RESOURCES INC,$1.1M,Materials,Metals & Mining,--,--
TGLS,Tecnoglass Inc,$322.3M,Materials,Construction Materials,1.67%,+1.6
TGNA,Tegna Inc,$3.1B,Communication Services,Media,2.00%,+1.2
TGT,Target Corporation,$89.6B,Consumer Discretionary,Multiline Retail,1.53%,+1.0
TGTX,TG Therapeutics Inc,$7.0B,Health Care,Biotechnology,--,+2.1
THC,Tenet Healthcare Corp,$4.4B,Health Care,Health Care Providers & Services,--,+2.7
THCT,Thc Therapeutics Inc,$5.4M,Health Care,Health Care Equipment & Supplies,--,+8.3
THFF,First Financial Corp,$531.8M,Financials,Banks,2.75%,+0.8
THG,Hanover Insurance Group Inc,$4.3B,Financials,Insurance,2.44%,+1.0
THLT,"TechLite, Inc.",$.0K,Industrials,Electrical Equipment,--,--
THM,International Tower Hill Mines Ltd,$298.2M,Materials,Metals & Mining,--,+0.9
THMG,"Thunder Mountain Gold, Inc",$11.4M,Materials,Metals & Mining,--,+0.2
THMO,Thermogenesis Holdings Inc,$17.7M,Health Care,Health Care Equipment & Supplies,--,+3.4
THO,"Thor Industries, Inc.",$5.2B,Consumer Discretionary,Automobiles,1.75%,+2.4
THPHF,Thinkpath Inc.,$11.8K,Industrials,Construction & Engineering,--,--
THR,Thermon Group Holdings Inc,$530.9M,Industrials,Electrical Equipment,--,+1.6
THRM,Gentherm Inc,$2.1B,Consumer Discretionary,Auto Components,--,+1.5
THS,TreeHouse Foods Inc.,$2.5B,Consumer Staples,Food Products,--,+0.6
THST,Truett-Hurst Inc,$1.9M,Consumer Staples,Beverages,--,+0.9
THTI,THT Heat Transfer Technology Inc,$1.0M,Industrials,Machinery,--,--
THVB,Thomasville Bancshares Inc,$303.7M,Financials,Banks,3.92%,+0.1
TIAIY,TELECOM ITALIA SPA,$3.2B,Communication Services,Diversified Telecommunication Services,5.91%,+1.2
TIF,Tiffany & Co.,$16.0B,Consumer Discretionary,Specialty Retail,1.77%,+0.7
TIGE,Tigrent Inc,$111.3K,Consumer Discretionary,Diversified Consumer Services,--,-1.5
TIGO,Millicom International Cellular SA (USA),$3.9B,Communication Services,Wireless Telecommunication Services,--,+0.9
TIGR,Up Fintech Holding Ltd,$1.3B,Financials,Capital Markets,--,--
TIIAY,Telecom Italia SpA (ADR),$7.0B,Communication Services,Diversified Telecommunication Services,2.43%,+1.2
TIKK,Tel-Instrument Electronics Corp.,$10.5M,Industrials,Aerospace & Defense,--,+0.5
TIKRF,"Tikcro Technologies, Ltd.",$3.0M,Health Care,Biotechnology,--,+0.6
